renaes,canonical_name,canonical_region,observed_months_2026,den_observed_2026_jan_may,num_observed_2026_jan_may,mean_monthly_den_2026_jan_may,projected_den_jun_dec,projected_num_jun_dec,projected_den_annual_2026,projected_num_annual_2026,projected_indicator_annual_2026,denominator_tier,expected_target,threshold_value,compliance_pct_projected,arima_compliance_status,arima_order,readiness,model_status,projected_den_annual_2026_rounded,projected_num_annual_2026_rounded,descripcion_establecimiento,departamento,provincia,distrito,categoria_establecimiento,total_personal_reunis,psicologos_reunis,source_status_reunis,total_staff_group,total_staff_group_order,is_modeled,is_logra_official_point
00027434,CENTRO DE SALUD MENTAL COMUNITARIO BAGUA,AMAZONAS,5,37,22,7.4,51.8,31.964795150497,88.8,53.964795150497,0.607711657100191,60-100,0.5,0.35,171.807771400128,LOGRA,"ARIMA(0,1,1)",basic,ok,89.0,54.0,CENTRO DE SALUD MENTAL COMUNITARIO BAGUA,AMAZONAS,BAGUA,BAGUA,I-3 : CENTRO DE SALUD MENTAL COMUNITARIO BAGUA,32.0,7.0,REUNIS_MATCH,31+ personas,4,True,True
00028701,CENTRO DE SALUD MENTAL COMUNITARIO ALLY WARAQ,ANCASH,5,38,29,7.6,53.2,42.809576811684,91.2,71.809576811684,0.787385710654429,60-100,0.5,0.35,291.59047376962,LOGRA,"ARIMA(0,0,0)",strict,ok,91.0,72.0,"CENTRO DE SALUD MENTAL COMUNITARIO ""ALLY WARAQ""",ANCASH,HUARAZ,INDEPENDENCIA,"I-3 : CENTRO DE SALUD MENTAL COMUNITARIO ""ALLY WARAQ""",29.0,7.0,REUNIS_MATCH,27-30 personas,3,True,True
00030711,CENTRO DE SALUD MENTAL COMUNITARIO CARHUAZ,ANCASH,5,49,27,9.8,68.6,30.5285399349477,117.6,57.5285399349477,0.489188264752957,101-150,0.4,0.3,189.188264752957,LOGRA,"ARIMA(2,1,2)",strict,ok,118.0,58.0,CENTRO DE SALUD MENTAL COMUNITARIO CARHUAZ,ANCASH,CARHUAZ,CARHUAZ,I-3 : CENTRO DE SALUD MENTAL COMUNITARIO CARHUAZ,27.0,6.0,REUNIS_MATCH,27-30 personas,3,True,True
00030712,CENTRO DE SALUD MENTAL COMUNITARIO LLAPANTSIKPAQ,ANCASH,4,24,20,6.0,42.0,39.8385360710114,66.0,59.8385360710114,0.906644485924415,60-100,0.5,0.35,371.09632394961,LOGRA,"ARIMA(1,1,2)",strict,ok,66.0,60.0,CENTRO DE SALUD MENTAL COMUNITARIO LLAPANTSIKPAQ,ANCASH,HUARAZ,INDEPENDENCIA,I-3 : CENTRO DE SALUD MENTAL COMUNITARIO LLAPANTSIKPAQ,27.0,7.0,REUNIS_MATCH,27-30 personas,3,True,True
00027144,CENTRO DE SALUD MENTAL COMUNITARIO NUEVO PUERTO,ANCASH,5,84,44,16.8,117.6,90.7525030644448,201.6,134.752503064445,0.668415193772048,>150,0.3,0.2,468.415193772048,LOGRA,"ARIMA(1,1,1)",strict,ok,202.0,135.0,CENTRO DE SALUD MENTAL COMUNITARIO NUEVO PUERTO,ANCASH,SANTA,NUEVO CHIMBOTE,I-3 : CENTRO DE SALUD MENTAL COMUNITARIO NUEVO PUERTO,31.0,9.0,REUNIS_MATCH,31+ personas,4,True,True
00025688,CENTRO DE SALUD MENTAL COMUNITARIO PRADERA DE LOS CELAJES,APURIMAC,5,78,45,15.6,109.2,57.9315238330128,187.2,102.931523833013,0.549847883723359,>150,0.3,0.2,349.847883723359,LOGRA,"ARIMA(0,1,1)",strict,ok,187.0,103.0,"CENTRO DE SALUD MENTAL COMUNITARIO  ""PRADERA DE LOS CELAJES""",APURIMAC,ANDAHUAYLAS,TALAVERA,"I-2 : CENTRO DE SALUD MENTAL COMUNITARIO  ""PRADERA DE LOS CELAJES""",26.0,7.0,REUNIS_MATCH,24-26 personas,2,True,True
00034351,CENTRO DE SALUD MENTAL COMUNITARIO SENOR DE ANIMAS,APURIMAC,5,32,31,6.4,44.8,44.576,76.8,75.576,0.9840625,60-100,0.5,0.35,422.708333333333,LOGRA,"ARIMA(1,1,0)",basic,ok,77.0,76.0,"CENTRO DE SALUD MENTAL COMUNITARIO ""SEÑOR DE ANIMAS """,APURIMAC,AYMARAES,CHALHUANCA,"I-3 : CENTRO DE SALUD MENTAL COMUNITARIO ""SEÑOR DE ANIMAS """,28.0,8.0,REUNIS_MATCH,27-30 personas,3,True,True
00031614,CENTRO DE SALUD MENTAL COMUNITARIO UNIVERSITARIO JOSE MARIA ARGUEDAS,APURIMAC,5,82,47,16.4,114.8,61.5173796381386,196.8,108.517379638139,0.551409449380786,>150,0.3,0.2,351.409449380786,LOGRA,"ARIMA(0,1,1)",strict,ok,197.0,109.0,CENTRO DE SALUD MENTAL COMUNITARIO UNIVERSITARIO JOSE MARIA ARGUEDAS,APURIMAC,ANDAHUAYLAS,SAN JERONIMO,I-3 : CENTRO DE SALUD MENTAL COMUNITARIO UNIVERSITARIO JOSE MARIA ARGUEDAS,23.0,7.0,REUNIS_MATCH,≤23 personas,1,True,True
00027464,CENTRO DE SALUD MENTAL COMUNITARIO CAYMA,AREQUIPA,5,26,17,5.2,36.4,28.1342304684544,62.4,45.1342304684544,0.723304975456001,60-100,0.5,0.35,248.869983637334,LOGRA,"ARIMA(0,1,1)",strict,ok,62.0,45.0,CENTRO DE SALUD MENTAL COMUNITARIO CAYMA,AREQUIPA,AREQUIPA,CAYMA,I-3 : CENTRO DE SALUD MENTAL COMUNITARIO CAYMA,38.0,15.0,REUNIS_MATCH,31+ personas,4,True,True
00026012,CENTRO DE SALUD MENTAL COMUNITARIO LOS MOROCHUCOS,AYACUCHO,5,64,46,12.8,89.6,64.2050186098965,153.6,110.205018609896,0.71748058990818,>150,0.3,0.2,517.48058990818,LOGRA,"ARIMA(0,1,1)",strict,ok,154.0,110.0,"CENTRO DE SALUD MENTAL COMUNITARIO ""LOS MOROCHUCOS""",AYACUCHO,CANGALLO,LOS MOROCHUCOS,"I-3 : CENTRO DE SALUD MENTAL COMUNITARIO ""LOS MOROCHUCOS""",36.0,13.0,REUNIS_MATCH,31+ personas,4,True,True
